show_id,type,title,director,cast,country,date_added,release_year,rating,duration,genre,description,year_added,month_added
s19,Movie,Sample Title 19,A. Kumar,"Actor A, Actor B",South Korea,2021-08-20,2019,G,132 min,Documentary,Sample description for title 19.,2021,August
s20,Movie,Sample Title 20,S. Rao,"Actor A, Actor B",Germany,2020-09-13,2001,G,142 min,Comedy,Sample description for title 20.,2020,September
s21,Movie,Sample Title 21,J. Smith,"Actor C, Actor D",Australia,2023-05-01,2004,G,140 min,Crime,Sample description for title 21.,2023,May
s22,TV Show,Sample Title 22,P. Brown,"Actor C, Actor D",South Korea,2024-01-18,2006,R,4 Seasons,Sci-Fi,Sample description for title 22.,2024,January
s23,TV Show,Sample Title 23,S. Rao,"Actor C, Actor D",India,2020-10-12,2003,TV-14,4 Seasons,Sci-Fi,Sample description for title 23.,2020,October
s24,Movie,Sample Title 24,S. Rao,"Actor E, Actor F",India,2020-06-21,2018,PG-13,70 min,Comedy,Sample description for title 24.,2020,June
s25,Movie,Sample Title 25,M. Lee,"Actor C, Actor D",Germany,2018-10-18,2010,PG-13,135 min,Sci-Fi,Sample description for title 25.,2018,October
s26,Movie,Sample Title 26,L. Martin,"Actor A, Actor B",Germany,2024-05-27,2023,G,143 min,Horror,Sample description for title 26.,2024,May
s27,Movie,Sample Title 27,K. Tanaka,"Actor C, Actor D",France,2019-02-02,2003,R,154 min,Kids,Sample description for title 27.,2019,February
s28,Movie,Sample Title 28,K. Tanaka,"Actor E, Actor F",South Korea,2019-02-08,2021,G,77 min,Comedy,Sample description for title 28.,2019,February
s29,Movie,Sample Title 29,L. Martin,"Actor A, Actor B",France,2020-02-19,2006,PG-13,138 min,Documentary,Sample description for title 29.,2020,February
s30,TV Show,Sample Title 30,S. Rao,"Actor A, Actor B",Australia,2018-11-05,2007,G,8 Seasons,Drama,Sample description for title 30.,2018,November
s31,Movie,Sample Title 31,K. Tanaka,"Actor C, Actor D",Germany,2020-08-26,2024,PG-13,91 min,Horror,Sample description for title 31.,2020,August
s32,Movie,Sample Title 32,K. Tanaka,"Actor C, Actor D",Germany,2022-04-02,2005,PG,70 min,Horror,Sample description for title 32.,2022,April
s33,TV Show,Sample Title 33,M. Lee,"Actor A, Actor B",Spain,2020-02-17,2004,TV-PG,5 Seasons,Sci-Fi,Sample description for title 33.,2020,February
s34,Movie,Sample Title 34,A. Kumar,"Actor E, Actor F",Germany,2021-07-08,2023,TV-14,77 min,Sci-Fi,Sample description for title 34.,2021,July
s35,Movie,Sample Title 35,J. Smith,"Actor A, Actor B",Spain,2023-09-12,2001,TV-MA,80 min,Romantic,Sample description for title 35.,2023,September
s36,TV Show,Sample Title 36,A. Kumar,"Actor E, Actor F",United States,2024-05-22,2003,R,4 Seasons,Crime,Sample description for title 36.,2024,May
s37,TV Show,Sample Title 37,M. Lee,"Actor C, Actor D",France,2020-04-16,2008,PG-13,6 Seasons,Documentary,Sample description for title 37.,2020,April
s38,TV Show,Sample Title 38,L. Martin,"Actor E, Actor F",Spain,2018-10-25,2010,TV-MA,1 Seasons,Comedy,Sample description for title 38.,2018,October
s39,Movie,Sample Title 39,R. Patel,"Actor A, Actor B",Canada,2020-12-22,2016,PG,86 min,Documentary,Sample description for title 39.,2020,December
s40,Movie,Sample Title 40,P. Brown,"Actor E, Actor F",Australia,2024-02-04,2014,TV-MA,160 min,Sci-Fi,Sample description for title 40.,2024,February
s41,TV Show,Sample Title 41,P. Brown,"Actor A, Actor B",United States,2019-03-01,2021,TV-PG,3 Seasons,Sci-Fi,Sample description for title 41.,2019,March
s42,Movie,Sample Title 42,M. Lee,"Actor E, Actor F",South Korea,2021-02-28,2008,PG-13,147 min,Documentary,Sample description for title 42.,2021,February
s43,TV Show,Sample Title 43,K. Tanaka,"Actor C, Actor D",India,2018-07-28,2008,TV-MA,2 Seasons,Thriller,Sample description for title 43.,2018,July
s44,Movie,Sample Title 44,L. Martin,"Actor E, Actor F",France,2020-12-08,2020,TV-14,90 min,Drama,Sample description for title 44.,2020,December
s45,Movie,Sample Title 45,A. Kumar,"Actor C, Actor D",Spain,2019-09-03,2002,TV-14,139 min,Action,Sample description for title 45.,2019,September
s46,TV Show,Sample Title 46,R. Patel,"Actor A, Actor B",South Korea,2018-06-21,2004,PG-13,5 Seasons,Romantic,Sample description for title 46.,2018,June
s47,Movie,Sample Title 47,J. Smith,"Actor A, Actor B",United Kingdom,2024-04-12,2011,G,122 min,Action,Sample description for title 47.,2024,April
s48,TV Show,Sample Title 48,K. Tanaka,"Actor E, Actor F",Canada,2020-01-05,2000,PG,6 Seasons,Action,Sample description for title 48.,2020,January
s49,Movie,Sample Title 49,L. Martin,"Actor A, Actor B",Canada,2018-06-08,2012,G,179 min,Kids,Sample description for title 49.,2018,June
s50,TV Show,Sample Title 50,A. Kumar,"Actor E, Actor F",Canada,2020-07-21,2009,R,4 Seasons,Thriller,Sample description for title 50.,2020,July
s51,TV Show,Sample Title 51,K. Tanaka,"Actor E, Actor F",Australia,2021-02-17,2002,PG,6 Seasons,Drama,Sample description for title 51.,2021,February
s52,Movie,Sample Title 52,P. Brown,"Actor A, Actor B",United States,2020-01-02,2008,TV-14,144 min,Horror,Sample description for title 52.,2020,January
s53,TV Show,Sample Title 53,S. Rao,"Actor C, Actor D",Spain,2021-07-08,2023,PG-13,7 Seasons,Documentary,Sample description for title 53.,2021,July
s54,Movie,Sample Title 54,M. Lee,"Actor C, Actor D",France,2022-11-22,2022,TV-MA,70 min,Thriller,Sample description for title 54.,2022,November
s55,TV Show,Sample Title 55,P. Brown,"Actor E, Actor F",France,2019-05-26,2021,PG,5 Seasons,Horror,Sample description for title 55.,2019,May
s56,TV Show,Sample Title 56,K. Tanaka,"Actor E, Actor F",France,2019-06-06,2017,TV-PG,4 Seasons,Action,Sample description for title 56.,2019,June
s57,TV Show,Sample Title 57,P. Brown,"Actor C, Actor D",Canada,2024-02-23,2012,R,1 Seasons,Crime,Sample description for title 57.,2024,February
s58,TV Show,Sample Title 58,M. Lee,"Actor E, Actor F",Germany,2022-12-15,2014,G,8 Seasons,Action,Sample description for title 58.,2022,December
s59,Movie,Sample Title 59,R. Patel,"Actor A, Actor B",Canada,2023-10-13,2009,TV-PG,154 min,Documentary,Sample description for title 59.,2023,October
s60,Movie,Sample Title 60,A. Kumar,"Actor A, Actor B",Canada,2020-03-26,2025,R,88 min,Crime,Sample description for title 60.,2020,March
s61,Movie,Sample Title 61,M. Lee,"Actor E, Actor F",France,2022-08-25,2014,R,150 min,Horror,Sample description for title 61.,2022,August
s62,Movie,Sample Title 62,S. Rao,"Actor C, Actor D",Canada,2018-01-23,2004,PG-13,166 min,Sci-Fi,Sample description for title 62.,2018,January
s63,TV Show,Sample Title 63,S. Rao,"Actor C, Actor D",United Kingdom,2024-04-02,2001,G,4 Seasons,Kids,Sample description for title 63.,2024,April
s64,TV Show,Sample Title 64,L. Martin,"Actor A, Actor B",Germany,2022-12-18,2024,R,7 Seasons,Documentary,Sample description for title 64.,2022,December
s65,Movie,Sample Title 65,L. Martin,"Actor E, Actor F",Canada,2021-02-09,2020,PG,168 min,Kids,Sample description for title 65.,2021,February
s66,Movie,Sample Title 66,P. Brown,"Actor C, Actor D",South Korea,2021-03-16,2022,TV-14,100 min,Comedy,Sample description for title 66.,2021,March
s67,Movie,Sample Title 67,J. Smith,"Actor E, Actor F",Canada,2020-08-05,2004,TV-MA,119 min,Horror,Sample description for title 67.,2020,August
s68,TV Show,Sample Title 68,K. Tanaka,"Actor A, Actor B",Canada,2024-02-01,2010,G,8 Seasons,Horror,Sample description for title 68.,2024,February
s69,TV Show,Sample Title 69,K. Tanaka,"Actor C, Actor D",India,2024-07-20,2024,PG,1 Seasons,Documentary,Sample description for title 69.,2024,July
s70,TV Show,Sample Title 70,L. Martin,"Actor A, Actor B",Japan,2024-01-14,2013,R,4 Seasons,Kids,Sample description for title 70.,2024,January
s71,Movie,Sample Title 71,K. Tanaka,"Actor E, Actor F",United Kingdom,2021-10-08,2012,G,155 min,Kids,Sample description for title 71.,2021,October
s72,Movie,Sample Title 72,K. Tanaka,"Actor E, Actor F",Spain,2023-12-28,2019,TV-PG,73 min,Drama,Sample description for title 72.,2023,December
s73,Movie,Sample Title 73,L. Martin,"Actor A, Actor B",India,2022-10-22,2020,PG,87 min,Horror,Sample description for title 73.,2022,October
s74,TV Show,Sample Title 74,R. Patel,"Actor C, Actor D",Japan,2023-02-06,2006,G,6 Seasons,Horror,Sample description for title 74.,2023,February
s75,TV Show,Sample Title 75,A. Kumar,"Actor C, Actor D",Canada,2023-04-11,2002,TV-PG,1 Seasons,Comedy,Sample description for title 75.,2023,April
s76,Movie,Sample Title 76,M. Lee,"Actor A, Actor B",Spain,2018-05-08,2024,PG-13,101 min,Romantic,Sample description for title 76.,2018,May
s77,Movie,Sample Title 77,M. Lee,"Actor C, Actor D",Japan,2019-04-14,2015,G,142 min,Thriller,Sample description for title 77.,2019,April
s78,Movie,Sample Title 78,S. Rao,"Actor A, Actor B",Japan,2024-10-23,2019,TV-MA,165 min,Crime,Sample description for title 78.,2024,October
s79,Movie,Sample Title 79,K. Tanaka,"Actor C, Actor D",Canada,2024-06-16,2009,TV-MA,156 min,Crime,Sample description for title 79.,2024,June
s80,Movie,Sample Title 80,S. Rao,"Actor E, Actor F",India,2021-05-20,2003,PG,178 min,Sci-Fi,Sample description for title 80.,2021,May
s81,TV Show,Sample Title 81,R. Patel,"Actor A, Actor B",France,2022-02-26,2021,G,2 Seasons,Kids,Sample description for title 81.,2022,February
s82,Movie,Sample Title 82,L. Martin,"Actor E, Actor F",United Kingdom,2022-01-23,2013,R,151 min,Action,Sample description for title 82.,2022,January
s83,TV Show,Sample Title 83,L. Martin,"Actor C, Actor D",Spain,2024-01-14,2019,PG,8 Seasons,Thriller,Sample description for title 83.,2024,January
s84,Movie,Sample Title 84,M. Lee,"Actor C, Actor D",Spain,2021-02-16,2002,TV-14,127 min,Horror,Sample description for title 84.,2021,February
s85,TV Show,Sample Title 85,J. Smith,"Actor C, Actor D",Canada,2023-07-18,2000,PG,6 Seasons,Documentary,Sample description for title 85.,2023,July
s86,TV Show,Sample Title 86,A. Kumar,"Actor E, Actor F",Canada,2024-09-07,2008,TV-MA,5 Seasons,Romantic,Sample description for title 86.,2024,September
s87,TV Show,Sample Title 87,L. Martin,"Actor E, Actor F",Germany,2024-03-24,2015,R,4 Seasons,Drama,Sample description for title 87.,2024,March
s88,Movie,Sample Title 88,M. Lee,"Actor C, Actor D",Spain,2020-06-26,2009,PG,121 min,Kids,Sample description for title 88.,2020,June
s89,TV Show,Sample Title 89,R. Patel,"Actor E, Actor F",Germany,2024-03-04,2013,PG,6 Seasons,Documentary,Sample description for title 89.,2024,March
s90,TV Show,Sample Title 90,R. Patel,"Actor A, Actor B",Australia,2019-05-10,2007,G,4 Seasons,Action,Sample description for title 90.,2019,May
s91,Movie,Sample Title 91,P. Brown,"Actor A, Actor B",Canada,2023-06-07,2006,PG,105 min,Romantic,Sample description for title 91.,2023,June
s92,TV Show,Sample Title 92,J. Smith,"Actor C, Actor D",India,2021-05-23,2005,TV-MA,1 Seasons,Sci-Fi,Sample description for title 92.,2021,May
s93,TV Show,Sample Title 93,S. Rao,"Actor A, Actor B",Spain,2019-06-02,2022,PG,8 Seasons,Kids,Sample description for title 93.,2019,June
s94,TV Show,Sample Title 94,A. Kumar,"Actor C, Actor D",Germany,2021-10-27,2014,TV-MA,3 Seasons,Comedy,Sample description for title 94.,2021,October
s95,TV Show,Sample Title 95,J. Smith,"Actor A, Actor B",Spain,2018-10-31,2015,PG,1 Seasons,Comedy,Sample description for title 95.,2018,October
s96,Movie,Sample Title 96,K. Tanaka,"Actor E, Actor F",Spain,2024-04-04,2003,G,167 min,Crime,Sample description for title 96.,2024,April
s97,Movie,Sample Title 97,L. Martin,"Actor C, Actor D",Japan,2023-11-11,2024,G,118 min,Crime,Sample description for title 97.,2023,November
s98,TV Show,Sample Title 98,S. Rao,"Actor A, Actor B",Canada,2024-05-18,2009,PG,1 Seasons,Comedy,Sample description for title 98.,2024,May
s99,Movie,Sample Title 99,S. Rao,"Actor A, Actor B",India,2019-12-13,2007,R,140 min,Kids,Sample description for title 99.,2019,December
s100,TV Show,Sample Title 100,P. Brown,"Actor E, Actor F",Japan,2018-05-14,2009,TV-PG,4 Seasons,Kids,Sample description for title 100.,2018,May
s101,Movie,Sample Title 101,M. Lee,"Actor C, Actor D",United States,2020-08-14,2021,TV-14,103 min,Romantic,Sample description for title 101.,2020,August
s102,Movie,Sample Title 102,A. Kumar,"Actor A, Actor B",Japan,2019-08-06,2008,TV-14,79 min,Crime,Sample description for title 102.,2019,August
s103,TV Show,Sample Title 103,P. Brown,"Actor E, Actor F",France,2019-05-25,2014,PG,8 Seasons,Sci-Fi,Sample description for title 103.,2019,May
s104,TV Show,Sample Title 104,K. Tanaka,"Actor E, Actor F",South Korea,2018-11-26,2014,TV-14,1 Seasons,Documentary,Sample description for title 104.,2018,November
s105,Movie,Sample Title 105,A. Kumar,"Actor E, Actor F",Japan,2020-07-26,2002,TV-14,156 min,Drama,Sample description for title 105.,2020,July
s106,Movie,Sample Title 106,L. Martin,"Actor C, Actor D",United Kingdom,2023-10-27,2015,TV-14,153 min,Horror,Sample description for title 106.,2023,October
s107,TV Show,Sample Title 107,K. Tanaka,"Actor C, Actor D",South Korea,2023-04-10,2002,TV-PG,6 Seasons,Comedy,Sample description for title 107.,2023,April
s108,Movie,Sample Title 108,L. Martin,"Actor C, Actor D",France,2022-08-14,2010,G,158 min,Sci-Fi,Sample description for title 108.,2022,August
s109,Movie,Sample Title 109,P. Brown,"Actor C, Actor D",United States,2018-12-27,2014,G,110 min,Horror,Sample description for title 109.,2018,December
s110,Movie,Sample Title 110,K. Tanaka,"Actor A, Actor B",Canada,2024-02-01,2021,TV-14,129 min,Thriller,Sample description for title 110.,2024,February
s111,TV Show,Sample Title 111,M. Lee,"Actor C, Actor D",Australia,2022-12-16,2020,PG-13,1 Seasons,Documentary,Sample description for title 111.,2022,December
s112,TV Show,Sample Title 112,A. Kumar,"Actor E, Actor F",Spain,2023-06-09,2022,G,2 Seasons,Romantic,Sample description for title 112.,2023,June
s113,Movie,Sample Title 113,K. Tanaka,"Actor A, Actor B",Canada,2024-03-06,2009,G,71 min,Comedy,Sample description for title 113.,2024,March
s114,TV Show,Sample Title 114,P. Brown,"Actor E, Actor F",Japan,2019-09-23,2003,R,8 Seasons,Kids,Sample description for title 114.,2019,September
s115,TV Show,Sample Title 115,K. Tanaka,"Actor A, Actor B",Spain,2023-02-14,2007,TV-14,3 Seasons,Action,Sample description for title 115.,2023,February
s116,Movie,Sample Title 116,P. Brown,"Actor A, Actor B",Japan,2022-08-27,2008,TV-PG,113 min,Documentary,Sample description for title 116.,2022,August
s117,TV Show,Sample Title 117,R. Patel,"Actor C, Actor D",Australia,2023-01-04,2004,G,8 Seasons,Sci-Fi,Sample description for title 117.,2023,January
s118,TV Show,Sample Title 118,M. Lee,"Actor E, Actor F",France,2021-08-11,2014,PG-13,4 Seasons,Horror,Sample description for title 118.,2021,August
s119,Movie,Sample Title 119,K. Tanaka,"Actor C, Actor D",United Kingdom,2023-04-22,2010,R,160 min,Drama,Sample description for title 119.,2023,April
s120,Movie,Sample Title 120,S. Rao,"Actor C, Actor D",United States,2024-08-14,2016,TV-14,112 min,Kids,Sample description for title 120.,2024,August
